name,slug,url,section,subcategory
Affinity Designer,affinity-designer,https://www.udemy.com/topic/affinity-designer/,Design,Graphic Design & Illustration
2D Animation,2d-animation,https://www.udemy.com/topic/2d-animation/,Design,3D & Animation
Certified SOLIDWORKS Associate (CSWA),certified-solidworks-associate-cswa,https://www.udemy.com/topic/certified-solidworks-associate-cswa/,Design,3D & Animation
Art Composition,art-composition,https://www.udemy.com/topic/art-composition/,Design,Graphic Design & Illustration
Siemens NX,siemens-nx,https://www.udemy.com/topic/siemens-nx/,Design,Design Tools
Figure Drawing,figure-drawing,https://www.udemy.com/topic/figure-drawing/,Design,Graphic Design & Illustration
HVAC,hvac,https://www.udemy.com/topic/hvac/,Design,Architectural Design
Product Design,product-design,https://www.udemy.com/topic/product-design/,Design,User Experience Design
3D Rendering,3d-rendering,https://www.udemy.com/topic/3d-rendering/,Design,3D & Animation
Sewing,sewing,https://www.udemy.com/topic/sewing/,Design,Fashion Design
Perspective Drawing,perspective-drawing,https://www.udemy.com/topic/perspective-drawing/,Design,Other Design
Krita,krita,https://www.udemy.com/topic/krita/,Design,Graphic Design & Illustration
Manga,manga,https://www.udemy.com/topic/manga/,Design,3D & Animation
Anatomy,anatomy,https://www.udemy.com/topic/anatomy/,Design,3D & Animation
CATIA,catia,https://www.udemy.com/topic/catia/,Design,Design Tools
Building Information Modeling (BIM),bim,https://www.udemy.com/topic/bim/,Design,Architectural Design
AI Art Generation,ai-art,https://www.udemy.com/topic/ai-art/,Design,Design Tools
Creo,creo,https://www.udemy.com/topic/creo/,Design,Design Tools
Affinity Publisher,affinity-publisher,https://www.udemy.com/topic/affinity-publisher/,Design,Design Tools
Sketching,sketching,https://www.udemy.com/topic/sketching/,Design,Graphic Design & Illustration
Technical Drawing,technical-drawing,https://www.udemy.com/topic/technical-drawing/,Design,Architectural Design
ARCHICAD,archicad,https://www.udemy.com/topic/archicad/,Design,Architectural Design
Logo Design,logo-design,https://www.udemy.com/topic/logo-design/,Design,Graphic Design & Illustration
Pattern Making (fashion),pattern-making,https://www.udemy.com/topic/pattern-making/,Design,Fashion Design
CorelDRAW,coreldraw,https://www.udemy.com/topic/coreldraw/,Design,Graphic Design & Illustration
Jewelry Design,jewelry-design,https://www.udemy.com/topic/jewelry-design/,Design,Fashion Design
VFX Visual Effects,vfx-visual-effects,https://www.udemy.com/topic/vfx-visual-effects/,Design,Game Design
Computational Fluid Dynamics (CFD),computational-fluid-dynamics,https://www.udemy.com/topic/computational-fluid-dynamics/,Design,Other Design
Game Art,game-art,https://www.udemy.com/topic/game-art/,Design,3D & Animation
Fashion,fashion,https://www.udemy.com/topic/fashion/,Design,Fashion Design
Autodesk Inventor,autodesk-inventor,https://www.udemy.com/topic/autodesk-inventor/,Design,Other Design
Certified SOLIDWORKS Professional (CSWP),certified-solidworks-professional-cswp,https://www.udemy.com/topic/certified-solidworks-professional-cswp/,Design,Design Tools
Clip Studio Paint,clipstudiopaint,https://www.udemy.com/topic/clipstudiopaint/,Design,Graphic Design & Illustration
Comic Book Creation,comic-book-creation,https://www.udemy.com/topic/comic-book-creation/,Design,Other Design
Houdini Software,houdini-software,https://www.udemy.com/topic/houdini-software/,Design,3D & Animation
UX Writing (User Experience Writing),ux-writing,https://www.udemy.com/topic/ux-writing/,Design,User Experience Design
Illustration,illustration,https://www.udemy.com/topic/illustration/,Design,Graphic Design & Illustration
AutoCAD Civil 3D,autocad-civil-3d,https://www.udemy.com/topic/autocad-civil-3d/,Design,Design Tools
Adobe XD,adobe-xd,https://www.udemy.com/topic/adobe-xd/,Design,User Experience Design
Photoshop Retouching,photoshop-retouching,https://www.udemy.com/topic/photoshop-retouching/,Design,Design Tools
Tekla Structures,tekla-structures,https://www.udemy.com/topic/tekla-structures/,Design,Other Design
Construction,construction,https://www.udemy.com/topic/construction/,Design,Architectural Design
Character Modeling,character-modeling,https://www.udemy.com/topic/character-modeling/,Design,3D & Animation
Color Theory,color-theory,https://www.udemy.com/topic/color-theory/,Design,Interior Design
Business Strategy,business-strategy,https://www.udemy.com/topic/business-strategy/,Business,Management
Sales Skills,sales-skills,https://www.udemy.com/topic/sales-skills/,Business,Sales
Product Management,product-management,https://www.udemy.com/topic/product-management/,Business,Management
Six Sigma Green Belt Certification,six-sigma-green-belt,https://www.udemy.com/topic/six-sigma-green-belt/,Business,Operations
Human Resources,human-resources,https://www.udemy.com/topic/human-resources/,Business,Human Resources
Business Fundamentals,business-fundamentals,https://www.udemy.com/topic/business-fundamentals/,Business,Entrepreneurship
Management Skills,management-skills,https://www.udemy.com/topic/management-skills/,Business,Management
Tableau,tableau,https://www.udemy.com/topic/tableau/,Business,Business Analytics & Intelligence
Scrum,scrum,https://www.udemy.com/topic/scrum/,Business,Project Management
Quality Management,quality-management,https://www.udemy.com/topic/quality-management/,Business,Operations
Dropshipping,dropshipping,https://www.udemy.com/topic/dropshipping/,Business,E-Commerce
Presentation Skills,presentation-skills,https://www.udemy.com/topic/presentation-skills/,Business,Communication
Amazon FBA,amazon-fba,https://www.udemy.com/topic/amazon-fba/,Business,E-Commerce
ISO 9001,iso-9001,https://www.udemy.com/topic/iso-9001/,Business,Management
